,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
576,"Hendall Inc
3.3",Data Scientist,"Rockville, MD","OVERVIEW
Hendall is currently seeking a Data Scientist, with experience in applying Natural Language Processing (NLP) / Machine Learning (ML) / Artificial Intelligence (AI) for processing and analyzing behavioral health or healthcare data, to join a project team supporting SAMHSA's Behavioral Health Services Information System (BHSIS).
In December 2016, the 21st Century Cures Act (Cures Act) was signed into law and codified CBHSQ. CBHSQ conducts national surveys tracking population-level behavioral health issues. CBHSQ also provides statistical and analytical expertise; both activities support the Assistant Secretary for Mental Health and Substance Use and the Secretary of HHS. CBHSQ maintains several data collection systems and surveys on key topics in U.S. behavioral health. This position will support the Behavioral Health Services Information System (BHSIS), which collects information on the U.S. behavioral health treatment system and connects people with substance use and mental health treatment through the Behavioral Health Treatment Services Locator. The Data Scientist will be collaborative and demonstrate focus and attention to detail. He / she receives, analyzes, and processes BHSIS substance abuse treatment services and mental health treatment services data. Specifically:
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$25 to $50 million (USD)
577,"Meridian Medical Technologies, LLC
3.0",Data Scientist,"Saint Louis, MO","ROLE SUMMARY
The Data Scientist is responsible for overseeing the collection and interpretation of data for businesses. Their duties include sifting through data points to create organized categories, comparing data points to current company processes and writing reports outlining business predictions or proposals.
Candidate in this role will be responsible for providing statistical support to intra-departmental and customers, support development, adoption and implementation of innovative solutions through statistical analysis tools, and actively engage with Pfizer statistical community in discussions of best practices.
ROLE RESPONSIBILITIES:
Analyze large amounts of information to discover trends and patterns to inform solutions and strategies to business challenges


Show More
Report",#N/A,201 to 500 Employees,Subsidiary or Business Segment,Manufacturing,Health Care Products Manufacturing,2003,$25 to $50 million (USD)
578,"Ecosystem Planning and Restoration, LLC
5.0",Data Scientist,"Tomball, TX","Data Scientist
Ecosystem Planning and Restoration, LLC
Job description
Ecosystem Planning and Restoration, LLC, (EPR) has an open position for a Remote full-time Data Scientist, with the option to office near any one of our locations in Houston, TX, San Antonio, TX, Raleigh, NC, Asheville, NC, and Columbia, MD.
Company Information
Ecosystem Planning and Restoration, LLC specializes in providing environmental planning, ecosystem restoration and mitigation, environmental studies, permitting, watershed studies and water resources engineering services throughout the United States. The company was founded in 2012 as a premier ecosystem planning & restoration firm providing services to support a sustainable environment. We are a growing firm devoted to providing exceptional quality to our clients, and an exciting and diverse workplace for our staff. In 2017, EPR was ranked #508 on Inc. 5000’s list of the fastest growing companies in the US, and also was rated the #1 Environmental Firm to Work For by Zweig White in 2017 and 3rd in 2018.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
579,"Devcare Solutions
3.4",Data Scientist,"Columbus, OH","TECHNICAL SKILLS
Must Have
4-5 years related work experience, including two to three years specializing in machine learning and cloud computing.
Intermediate proficiency in one or more programming languages, including R, Python, Spark, and others
Master’s degree or above in Statistics, Economics, Data Science, or related field.
Outstanding written and verbal communication skills, able to explain complicated AI models using easy to understand language
Progressive thinking and problem solving, with a strong ability to manage ambiguity/complexity
Proven experience working as a data/AI Product Owner or managing data/AI projects using Agile processes
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2005,Unknown / Non-Applicable
580,Tek minded INC,Data Scientist,Remote,"Hi,
Hope your doing well,
Please find the below requirement and let me know your interest,
Job Title:Data Scientist
Job Location:Bellevue,Wash., Atlanta, Ga. or Overland park, Kansas)
Job Duration:Long Term contract
Job Description:
5+ years of experience in developing scalable distributed machine learning systems
Should be able to work with a distributed multi-vendor team in a multi-cultural environment across multiple geographies taking care of a complex web application
Show More
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
581,"Altamira
4.1","Data Scientist, Jr.","Fort Bragg, NC","Data Scientist
Altamira delivers a variety of analytic and engineering capabilities to the US National Security community, but the tech culture and the caliber of the individuals that bring these capabilities to fruition are what really set us apart. We’re a curious, responsive, dedicated bunch spread across many corporate cultures. Dayton, OH is highly focused on the Space-based mission set with a heavy emphasis on sensor exploitation and analysis; Tampa, FL focuses on ‘art-of-the-possible’ analytics of all kinds with an emphasis on graph technologies, NLP, and wrangling complex data sets; and all forces converge at our headquarters in the Northern Virginia/Washington DC area where we host our tech events and support engineering and analytic missions across several IC and DOD agencies.
While our work occurs in different states and different mission domains, we’ve got analytics at the heart of every operation and genuine curiosity for new methods, techniques, and solutions. Our specialties are data science and analytics, data engineering, software engineering, and end-to-end analytic solutions architecture. We’ve also got some awesome benefits like the Altamira Healthy Living program, with ongoing competitions and a flexible spending stipend for health and wellness-related items.

Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2001,$25 to $50 million (USD)
582,"Brighton Jones
4.1",Data Scientist,"Seattle, WA","Are you hungry for more than just a career move? Wondering if it's possible for work-life to be an extension of your own personal and professional passion? Brighton Jones' unique and inclusive culture enables you to discover your potential and pursue your definition of a richer life.

Brighton Jones, one of the country's fastest growing wealth management firms, is seeking a Data Scientist responsible for leading and conducting key analyses on company data, generating insights, and developing solutions to drive business decisions, growth, and opportunities.

Brighton Jones is a team that helps our clients, colleagues, and the global community live richer lives. That's our mission, and why we do everything we do. We are a team that collaborates together to achieve our goals, as we support our clients in reaching theirs. Successful candidates for this role and all roles at Brighton Jones will bring a ""how can I help?"" attitude and a willingness to do whatever it takes to help our clients and colleagues succeed. We are looking for someone who wants to contribute to and celebrate the success of others and be part of an organization that is a leader in the industry.


Show More
Report",#N/A,201 to 500 Employees,Company - Private,Finance,Investment & Asset Management,1999,$25 to $50 million (USD)
583,"Zen Strategics LLC
4.0",Data Scientist,Remote,"Description:
Zen Strategics, a niche Cyber Security Firm, is looking for a Data Scientist
Requirements:
Proficiency with major data science tools and languages such as Python, R, NiFi, PostgreSQL/SQL, Spark, and Git
Demonstrated experience with cleaning, managing, optimizing performance with, and processing large volumes of data
Familiarity with industry best practices for software/hardware optimization when processing large data sets and offers experience in the following required task areas: experience with machine learning, statistical modeling and forecasting
Experience with Hadoop, Spark, or other parallel storage/computing processes is a plus
Requirements:
Show More
Report",#N/A,1 to 50 Employees,Self-employed,#N/A,#N/A,#N/A,Less than $1 million (USD)
584,"Altak Group
2.0",Sr. Data Scientist,Remote,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the client's systems. In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine learning and research.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
585,"Blue Cross & Blue Shield of Rhode Island
3.6",Data Scientist,"Providence, RI","Please email hr_business_partners@bcbsri.org if you are a candidate seeking a reasonable accommodation for the application and/or interview process.

Salary Range: $88,100 - $132,100
Type of position: Hybrid or Remote

Jump into the new world of health insurance:
At Blue Cross & Blue Shield of Rhode Island (BCBSRI), our business is healthcare. But our focus is on improving lives. Be part of a team that’s large enough to make a difference but small enough to be innovative. Work in a rapidly changing field. Take a chance to be creative. Move outside the status quo. Shape new ideas with the power of a national brand behind you.

Join others who know diversity is strength:
We appreciate and celebrate everything that makes us unique: age, national origin, citizenship status, perspectives, experiences, physical or mental disability, military status, race, ethnicity, religion, gender, sexual orientation, gender identity and/or expression. Our diversity strengthens us as an organization and helps us better serve an increasingly diverse Rhode Island population.


Research, manipulate, and interpret complex data and analyze results using machine learning, advanced statistics, trend analysis, and other artificial intelligence techniques to draw business inferences and clearly articulate findings with the target audience. Design and implement data collection systems and other methods ensuring data integrity and statistical accuracy. Collect and analyze data from multiple internal and external sources. Extract and identify relevant information from databases and systems. Mine and interpret results providing consultative feedback to various areas in order to improve service delivery and enhance program design efforts.




BCBSRI is headquartered in downtown Providence, conveniently located near the train station and bus terminal. We actively support associate well-being and work/life balance and offer the following schedules, based on role:
o. Arizona, Connecticut, Florida, Georgia, Louisiana, Maine, Massachusetts, Nevada, New Hampshire, North Carolina, Pennsylvania, Rhode Island, South Carolina, Texas, Virginia


Blue Cross & Blue Shield of Rhode Island has a COVID-19 vaccination requirement for all associates. Offers of employment are contingent on being fully vaccinated for COVID-19 or through an approved accommodation request for either a medical or religious exemption. Requests for accommodations can be made to a representative in the human resources department upon receiving an offer.

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, gender, age, national origin, disability, veteran status, sexual orientation, genetic information and gender identity or expression.
The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visit https://www.eeoc.gov/employers/eeo-law-poster to view the ""EEO is the Law"" poster.
Show More
Report",#N/A,501 to 1000 Employees,Non-profit Organisation,Insurance,Insurance Carriers,1939,Unknown / Non-Applicable
586,Big Bright International,DATA SCIENTIST,"Chicago, IL","Data Scientist at various unanticipated client locations throughout the US to lead data assessment, modeling and forecast for big size multi-national companies; provide ETL big data integration; utilize Data Stage to populate tables in data warehouse and data marts. Hadoop, Pig, Hvive, Data Stage, and Netezza. Must have a Master’s degree in Management Information Systems, or Business Administration, or foreign equivalent.
Show More
Report",#N/A,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
587,"American Modern Insurance Group
4.1",Associate Data Scientist,"Amelia Court House, VA","Associate Data Scientist
Company
American Modern Insurance Group
Location
Amelia Court House , United States
Purpose:
Uses data and statistical analysis to drive business decisions and target improved results across various functional areas.

Roles & Responsibilities:


Show More
Report",#N/A,Unknown,Company - Private,Insurance,Insurance Carriers,1994,$25 to $50 million (USD)
588,"Reliable Transportation Solutions
4.5",Data Scientist,"Cincinnati, OH","Data Scientist / Machine Learning and Artificial Intelligence Wizard
RTS is looking for a talented Data Scientist to join our team and help take us to the next level. In this role, you will report directly to the Data and Analytics Team Lead, and you'll be responsible for building and implementing Machine Learning and Artificial Intelligence models to address complex business problems and improve operational efficiency. The ideal candidate will also have experience in the logistics and supply chain industry-which will help us stay ahead of the curve and maintain our leadership position in the market.
WHY CONSIDER WORKING AT RTS?
Competitive pay
We’re a growing company in a rapidly-expanding industry (which means you can grow with us)
We’re local! Look no further than our coney-eating contests and Bengals’ gear days to see our Cincy spirit
BUT, we have left our footprint (or rather, tire tracks) across the entire country with our great reputation

Show More
Report",#N/A,51 to 200 Employees,Company - Private,Transportation & Logistics,Shipping & Trucking,2006,$100 to $500 million (USD)
589,"FocusKPI Inc.
3.4",Data Scientist,"San Bruno, CA","FocusKPI is seeking Data Scientists to enable deep media insights through advanced analytics for our client, one of the largest retailers/e-commerce companies in the U.S.
Work Location: Remote in the U.S.
Duration: 6 months contract with potential for extension and conversion, depending on budget and performance
Pay range: $50/hour to $70/hour
Responsibilities:
Perform hands-on coding to retrieve and analyze large datasets using Python and SQL
Integrate disparate data sources and leverage state-of-the-art analytics best practices to deliver integrated actionable insights to partners and stakeholders


Show More
Report",#N/A,51 to 200 Employees,Company - Private,Media & Communication,Advertising & Public Relations,#N/A,Less than $1 million (USD)
590,"Vetro Tech Inc
3.9",Data Scientist,"Los Angeles, CA","We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms

Show More
Report",#N/A,Unknown,Company - Public,Human Resources & Staffing,"Staffing, Recruitment & Subcontracting",#N/A,Unknown / Non-Applicable
591,SourceFly,Data Scientist,"Ashburn, VA","Data Scientist
We are seeking capable, qualified, and versatile Data Scientists to help lead the development and delivery of high-quality predictive modelling solutions.
Within three - six months of joining the project, Data Scientists will be expected to:
Lead and perform hands-on analysis and modeling involving the creation of intervention hypotheses and experiments, assessment of data needs and available sources, determination of optimal analytical approaches, performance of exploratory data analysis, and feature generation (e.g., identification, derivation, aggregation).
Collaborate with mission stakeholders to define, frame, and scope mission challenges where big data interventions may offer important mitigations and develop robust project plans with key milestones, detailed deliverables, robust work tracking protocols, and risk mitigation strategies.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2021,$1 to $5 million (USD)
592,EverChain LLC,Data Scientist,"Henderson, NV","EverChain is the Nation’s largest online commercial debt-sales marketplace. The EverChain platform enables brokers, law firms, agencies, creditors, and debt buyers with innovative technology to facilitate secure and compliant debt sales, providing end-to-end transparency during the debt recovery cycle. EverChain is the only online marketplace for lenders to safely liquidate their charged off debt. In doing so, EverChain enhances collections ROI for creditors and agencies and improves the post-default experience for borrowers. EverChain was purpose-created in 2012 with a mission to change the way consumers were treated during debt recovery efforts. Over the past decade, EverChain has protected more than 11 million consumers, setting the industry standard for compliance. EverChain has become the place where organizations can safely sell their debt portfolios to the nation’s largest network of qualified, vetted, certified, debt buyer.
Job Overview
We are looking for a Data Scientist who will support our sales, marketing, client support and executive teams with insights gained from analyzing our company, industry and other economic data. Reporting directly to our CFO, the ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building, and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. The ideal candidate must be willing to spend some time at our corporate office in Henderson, N. especially in the beginning and then as needed.
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
593,"VitalCORE
2.7",Data Scientist,United States,"About us
We are professional, agile and our goal is to grow.
Our work environment includes:
Growth opportunities
Remote work
Positive work environment

Job Summary:
As a Data Scientist at [Company Name], you will play a crucial role in analyzing complex datasets, developing predictive models, and providing actionable insights to drive business growth. This is an exciting opportunity to apply your data science skills and make a tangible impact in a collaborative and dynamic work environment.




Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Healthcare,Healthcare Services & Hospitals,2018,Unknown / Non-Applicable
594,"WinWire
4.0",Data Scientist,"Harrison, NJ","Labor Condition Application Posting Information
H-1B non-immigrant workers are being sought by WinWire Technologies, Inc. through the filing of a labour condition application with the Employment and Training Administration of the U.S. Department of Labour.
Employment Information:
1. Location of Employment (City, State):
Exelixis, Inc. – 1851 Harbor Bay Parkway, Alameda, CA 94502

2. H-1B Job Title:
Data Scientist

3. Occupation Code:





Show More
Report",#N/A,501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
595,"Caresoft Global, Inc
3.6",Data Scientist,"Burr Ridge, IL","RESPONSIBILITIES:
•Review and analyse large datasets related to agricultural machinery to identify trends and insights.
•Typical data sets will be pulled from the Agricultural machines / warranty database, also online portal reflecting onboard vehicle data and change management tool.
•Responsible for generating problem statements that engineering, manufacturing, and supplier teams can act.
•Identifying failure trends, especially surrounding low hour complaints from the dealer network.
•Trends / making recommendation for the type of action need to for corrective actions.
•Data entry / data clean-up
Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$100 to $500 million (USD)
596,"Wise Equation Solutions
4.9",Data Scientist,"Austin, TX","Skills relating to Mathematics/Statistics .
Graduate/Engineer/Post-Graduate with a huge interest in handling numbers.
Ability to understand all domains in businesses across various sectors.
A natural passion for numbers, business, coding, Analytics, and Artificial Intelligence, Machine Learning, visualization.
Good verbal and written communication skills.
Analyze large and complex data sets from multiple sources.
Develop and evaluate data analytics models, algorithms and solutions.
Implement algorithms to mine targeted data and the ability to convert data into a business story.
Translate business requirements into technical requirements.
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD)
597,"MarkeTeam
1.0",Data Scientist,"Atlanta, GA","ABOUT MARKETEAM:
At MarkeTeam, we believe in doing good work and work that does good. MarkeTeam is a full-service direct marketing agency specializing in providing services to many of the leading nonprofit charities in the United States, including the U.S. Fund for UNICEF, Smile Train, Memorial Sloan Kettering Cancer Center, and Sierra Club.
Along with the opportunity for personal and professional growth, MarkeTeam offers a comprehensive benefits package including fully-paid medical and dental coverage, flexible spending accounts, life insurance, a matching Simple IRA retirement plan, minimum of three weeks of vacation/paid time off, 10-15 paid holidays, an innovative and diverse work environment, as well as other amenities.
This is an excellent opportunity to work in a profitable, high-growth advertising/marketing agency that allows you to advance your career, earn a very competitive salary with generous benefits, while also making a positive impact on the lives of children and adults in the United States and around the world!









Show More
Report",#N/A,1 to 50 Employees,Company - Private,Media & Communication,Advertising & Public Relations,#N/A,Unknown / Non-Applicable
598,"Numerade
3.8",Data Scientist,"Los Angeles, CA","Numerade is an education technology company on a mission to close education opportunity gaps.
This is your opportunity to join a profitable, cash flow positive, venture-backed startup early and build something remarkable at the intersection of education and technology.
Since our launch in 2019, our video-based virtual learning platform has helped over 100 million students gain confidence in STEM subjects, from algebra to quantum mechanics and beyond.
We've built the world's largest STEM video library, creating the AI tutor category.
We have 60,000 passionate educators creating video content and sharing their knowledge with students around the world.
At Numerade, we are committed to building a virtual learning platform for everyone: For students who want to understand. For educators who love to teach. And for parents who care. Our purpose goes beyond helping students get good grades – we want to support true understanding and help students and educators alike find meaning in education. Both internally and externally, we work to foster a supportive community that encourages honest answers over easy solutions, and we are motivated by the feeling of accomplishment rather than the fear of failure. If you share our commitment to learning, our belief in continuous progress, and our restless curiosity, we want to hear from you.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Education,Education Support & Training Services,2019,Unknown / Non-Applicable
599,"Hyperspace Ventures
4.2",Data Scientist,"Durham, NC","Durham, NC | Austin, TX | Remote | Full Time
Data Scientist
We're looking for Data Scientists to work on our core and business products to help shape the future of what we build at Hyperspace Ventures. You will enjoy working with various data sets, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.

Responsibilities:
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products






Show More
Report",#N/A,1 to 50 Employees,Company - Private,Information Technology,Internet & Web Services,2017,Unknown / Non-Applicable
600,"ERPMark Inc
4.0",Chief Data Scientist,"Richmond, VA","Role: Chief Data Scientist
Location: Virginia (Hybrid Model)
Job Type: Contract to Hire / Full Time.
A Chief Data Scientist focusing on this project should have (or represent a team with) extensive experience working with various NLP techniques and algorithms, such as text pre-processing/model development, model evaluation, model explainability, and model deployment.
Text preprocessing and model development: Proficiency in techniques for cleaning, preprocessing, and transforming unstructured text data into structured formats suitable for machine learning algorithms is essential. This includes text normalization, stemming, lemmatization, vectorization methods such as TF-IDF/sentence embeddings (i.e., sentence-transformers), fine-tuning of pre-trained language models (i.e., BERT), and sentiment analysis.
Show More
Report",#N/A,1 to 50 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,Less than $1 million (USD)
601,"American Unit
4.3",Data Scientist,"Houston, TX","IMMEDIATE HIRING
Contract
Job Title : Data Scientist with Oil & Gas Hydraulics exp
Location : Houston, TX (ONSITE) - Locals or Nearby commutable resources
Visas Only: USC / H1B
Read First
Industry : Current OIL & GAS Industry Experience Required
For Submission we require I94 with Passport Number

Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2003,$25 to $50 million (USD)
602,"American Modern Insurance Group
4.1",Associate Data Scientist,"Amelia Court House, VA","Associate Data Scientist
Company
American Modern Insurance Group
Location
Amelia Court House , United States
Purpose:
Uses data and statistical analysis to drive business decisions and target improved results across various functional areas.

Roles & Responsibilities:


Show More
Report",#N/A,Unknown,Company - Private,Insurance,Insurance Carriers,1994,$25 to $50 million (USD)
603,"VirginPulse
3.4",Data Scientist I,Remote,"Overview:
Now is the time to join us!
At Virgin Pulse we value and celebrate diversity and we are committed to creating an inclusive environment for all employees. We believe in creating teams made up of individuals with various backgrounds, experiences, and perspectives. Why? Because diversity inspires innovation, collaboration, and challenges us to produce better solutions. But more than this, diversity is our strength, and a catalyst in our ability to #changelivesforgood.
Responsibilities:
Who are you?
You are a Data Scientist who will hit the ground running to support the organization's efforts to drive personalization and targeted intervention in the health engagement SaaS industry. You have a solid statistical and modeling skill set and the technical tools to complete projects end to end. This role will be responsible for preparing datasets, building predictive machine learning models, and optimizing model performance. We are looking for someone who is self-directed and thrives working in a fast-paced, collaborative environment in which expectations are high both for the quality and speed of work. A successful candidate will have a hunger for continuous learning, a desire to grow and lead, and strong interpersonal relationship skills.




Qualifications:


Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2004,$25 to $50 million (USD)
604,"Altamira
4.1","Data Scientist, Jr.","Fort Bragg, NC","Data Scientist
Altamira delivers a variety of analytic and engineering capabilities to the US National Security community, but the tech culture and the caliber of the individuals that bring these capabilities to fruition are what really set us apart. We’re a curious, responsive, dedicated bunch spread across many corporate cultures. Dayton, OH is highly focused on the Space-based mission set with a heavy emphasis on sensor exploitation and analysis; Tampa, FL focuses on ‘art-of-the-possible’ analytics of all kinds with an emphasis on graph technologies, NLP, and wrangling complex data sets; and all forces converge at our headquarters in the Northern Virginia/Washington DC area where we host our tech events and support engineering and analytic missions across several IC and DOD agencies.
While our work occurs in different states and different mission domains, we’ve got analytics at the heart of every operation and genuine curiosity for new methods, techniques, and solutions. Our specialties are data science and analytics, data engineering, software engineering, and end-to-end analytic solutions architecture. We’ve also got some awesome benefits like the Altamira Healthy Living program, with ongoing competitions and a flexible spending stipend for health and wellness-related items.

Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2001,$25 to $50 million (USD)
605,"Altak Group
2.0",Sr. Data Scientist,Remote,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve the client's systems. In this role, you should be highly analytical with a knack for analysis, math, and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine learning and research.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
606,MMStartup,Data Scientist,"Ashburn, VA","**************************************************************************************************************************
MMStartup is a pre-startup domain dedicated to Market Research and other R&D activities.
Currently, we are conducting integration testing from external websites such as Indeed, Glassdoor, and others. We'd like to ask potential candidates to disregard this job posting, and we apologize for any inconvenience caused during the job analysis process. **************************************************************************************************************************

Job Responsibilities:
We are looking for a Data Scientist with an entrepreneur’s mindset to support a fast-paced and growing data science team working on projects critical to National Security. The position is located within a classified space in the Northern Virginia area, and requires an active TS/SCI with Polygraph security clearance.







Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
607,"Warren CAT
4.2",Data Scientist,"Abilene, TX","TEAM UP WITH US!
***Candidates must reside in the Warren CAT territory. Reference:
https://www.warrencat.com/locations/
The Data Scientist is responsible for analyzing data and conducting important research to drive business decisions based on strategic goals for the organization. The Data Scientist acts as a trusted data visualization advisor to the stakeholder/end-user in order to drive business value. Work is somewhat complex in nature and performed under general supervision, requiring independent judgment.

DO YOU HAVE WHAT IT TAKES?













Show More
Report",#N/A,1001 to 5000 Employees,Company - Private,Retail & Wholesale,Motor Vehicle Dealers,1971,$100 to $500 million (USD)
608,"Wise Equation Solutions
4.9",Data Scientist,"Austin, TX","Skills relating to Mathematics/Statistics .
Graduate/Engineer/Post-Graduate with a huge interest in handling numbers.
Ability to understand all domains in businesses across various sectors.
A natural passion for numbers, business, coding, Analytics, and Artificial Intelligence, Machine Learning, visualization.
Good verbal and written communication skills.
Analyze large and complex data sets from multiple sources.
Develop and evaluate data analytics models, algorithms and solutions.
Implement algorithms to mine targeted data and the ability to convert data into a business story.
Translate business requirements into technical requirements.
Show More
Report",#N/A,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,$5 to $25 million (USD)
609,"Google
4.4","Business and Marketing Data Scientist, Applied Machine Learning","New York, NY","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Redwood City, CA, USA; New York, NY, USA.
Minimum qualifications:
Master's degree in Computer Science, Mathematics, Applied Statistics, Machine Learning, or equivalent practical experience.
3 years of experience in Deep Learning, Natural Language Processing (NLP), or Natural Language Understanding (NLU) and frameworks.
3 years of experience using SQL and programming in Python, TensorFlow or Pytorch.

Preferred qualifications:







Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
Show More
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
610,"Arvest Bank
4.0",Enterprise Data Scientist,United States,"Pay is based on a number of factors including the successful candidate’s job-related knowledge and skills, qualifications, and prior experience. Arvest offers a comprehensive suite of benefits, including a full range of health and life, financial, and wellness benefits. For more information about benefits, please visit www.arvest.com/careers/benefits .

Position is Monday through Friday from 8 am to 5 pm with the ability to work additional hours as project needs demand.
Incumbent should be located within the Arvest 4 State Footprint (AR, KS, MO, OK). Remote work options may be available outside of the 4-state footprint upon further review during the interview process.

The story of Arvest is one of commitment started by our founders in 1961, with an intense dedication to focusing on our customers. We will always be active and involved members of the communities we serve, and we will always work to put the needs of our customers first as we continue to fulfill our mission –




Show More
Report",#N/A,5001 to 10000 Employees,Company - Private,Finance,Banking & Lending,1999,$500 million to $1 billion (USD)
611,"1010data
3.2",Sr. Data Scientist,"New York, NY","Senior Data Scientist
Product - Data Science
1010data values:
Integrity: Doing the right things for the right reasons
Agility: Adapting and thriving in a dynamic environment
Teamwork: Combining our strengths to do amazing things
Passion: Channeling enthusiasm to drive excellence
Creativity: Unleashing curiosity to defy the norm

Show More
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Computer Hardware Development,2000,$25 to $50 million (USD)
612,"Kyla
3.5",Jr. Data Scientist,"San Jose, CA","Job Type: Full Time
We are looking for Jr. Data Scientists to join our team.
Kyla is the next generation of healthcare tech. Our mission is to help people live longer and healthier. With the latest AI technologies, we provide the best digital healthcare for everyone. We have several digital products such as mobile app, and three web applications for companies and doctors. We work with Fortune 500 companies. Our solutions are used by thousands, and recently we won the Exceptional Innovation By The 2020 Pandemic Tech Innovation Awards. Our team is bright minds who love their job and development and are not afraid of working in a fast-growing lean startup.
If you would like to join us, do not hesitate to apply.
Required skills:













Show More
Report",#N/A,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
